1	210	27.7	100850	39.55	100851	39.21	88430	80	29.07	1.59	1.65	387.37
2	209	27.6	100858	39.47	100853	39.81	88402	80	28.78	1.57	5.98	554.38
3	209	27.7	100851	39.31	100852	39.97	87997	79	28.92	1.52	2.5	559.69
4	207	27.7	100846	40.63	100849	39.22	88466	80	29.02	1.56	0.65	361.83
5	213	27.7	100856	39.17	100851	39.01	88510	80	28.92	1.57	4.56	441.17
6	211	27.7	100849	39.58	100851	39.44	88711	80	28.92	1.59	5.78	509.12
7	212	27.7	100851	39.1	100852	38.99	88467	80	29.06	1.45	5.3	498.26
8	214	27.7	100855	38.98	100851	39.06	88764	80	28.78	1.49	4.0	561.51
9	216	27.7	100852	39.73	100855	39.36	89470	81	28.85	1.49	1.39	468.72
10	212	27.7	100845	40.12	100851	39.66	89447	81	29.06	1.55	3.18	530.66
11	214	27.7	100851	38.71	100853	38.44	89108	81	29.06	1.5	4.73	471.72
12	214	27.8	100854	39.05	100857	39.07	88004	80	29.05	1.49	5.96	421.1
13	216	27.7	100850	39.43	100857	38.67	89025	80	28.87	1.54	3.8	562.43
14	213	27.6	100859	38.88	100862	38.89	87200	79	29.01	1.48	4.29	371.69
15	213	27.7	100851	39.57	100857	39.02	86571	78	29.02	1.56	1.96	506.99
16	211	27.7	100865	38.75	100854	38.94	86045	78	28.9	1.59	0.95	437.13
17	215	27.8	100853	39.36	100862	38.69	87020	79	28.85	1.51	6.36	486.58
18	217	27.8	100858	39.53	100855	38.87	87328	79	28.95	1.52	1.14	414.72
19	212	27.7	100857	39.35	100861	39.04	87643	79	28.92	1.53	7.27	539.12
20	212	27.7	100854	39.5	100850	39.29	87473	79	29.0	1.5	5.46	442.27
21	214	27.7	100860	39.62	100854	39.51	87105	79	28.82	1.52	6.6	432.71
22	217	27.7	100850	38.7	100859	38.46	87526	79	29.06	1.46	2.62	366.92
23	215	27.7	100852	39.71	100857	39.28	87593	79	28.92	1.54	3.05	529.31
24	212	27.7	100855	39.2	100856	38.9	87323	79	28.98	1.55	3.79	531.5
25	213	27.7	100856	39.08	100868	38.42	86940	79	29.06	1.51	4.64	514.83
26	218	27.7	100862	39.12	100856	39.27	87670	79	28.92	1.59	4.93	436.98
27	216	27.7	100852	39.45	100855	39.74	87824	79	29.04	1.57	6.17	538.19
28	213	27.8	100853	39.7	100846	39.66	87445	79	28.9	1.45	2.67	367.47
29	213	27.7	100848	39.46	100853	39.63	87809	79	28.98	1.47	5.13	446.77
30	213	27.7	100854	39.54	100851	38.96	88024	80	28.92	1.46	5.85	433.89
31	217	27.7	100844	39.0	100853	39.86	88667	80	29.02	1.48	5.37	406.29
32	215	27.6	100848	39.97	100855	39.59	88729	80	28.98	1.52	4.01	532.58
33	211	27.7	100851	39.03	100851	38.82	88060	80	28.78	1.45	2.3	501.66
34	210	27.7	100848	39.39	100852	39.09	88178	80	28.93	1.57	2.86	402.95
35	210	27.7	100854	39.35	100854	39.18	88475	80	28.92	1.48	5.36	567.13
36	210	27.7	100863	38.69	100842	39.75	88023	80	28.93	1.51	4.35	507.15
37	216	27.7	100847	40.19	100850	39.89	88497	80	28.92	1.49	1.47	538.33
38	211	27.7	100851	38.99	100850	38.88	88870	80	28.83	1.5	3.53	383.55
39	209	27.7	100849	39.42	100855	39.64	88795	80	28.92	1.47	5.94	413.81
40	220	27.8	100853	40.34	100852	39.32	88381	80	28.91	1.58	5.13	452.86
41	215	27.7	100847	40.07	100837	39.81	88781	80	29.07	1.47	2.33	429.05
42	209	27.7	100853	40.42	100856	39.71	88837	80	28.89	1.55	5.58	416.25
43	209	27.7	100848	39.55	100851	39.27	88726	80	29.04	1.57	1.29	431.33
44	209	27.6	100852	39.68	100856	39.22	88297	80	28.99	1.5	4.67	509.53
45	210	27.8	100849	39.34	100853	39.46	88288	80	28.85	1.45	5.78	538.61
46	213	27.7	100850	39.71	100856	39.64	88389	80	28.85	1.54	3.72	395.69
47	210	27.8	100856	39.44	100856	39.48	88533	80	28.89	1.49	4.61	541.77
48	219	27.7	100850	39.85	100849	39.24	88251	80	28.93	1.57	3.31	498.11
49	212	27.6	100846	39.79	100844	39.68	88025	80	28.89	1.52	2.54	418.23
50	216	27.7	100849	39.99	100851	39.78	88421	80	28.88	1.54	3.7	559.15
51	213	27.8	100857	39.09	100846	39.25	88313	80	28.93	1.53	6.6	554.59
52	213	27.7	100857	39.27	100857	39.12	88523	80	29.04	1.49	5.25	400.93
53	211	27.7	100848	38.83	100857	39.08	88368	80	28.83	1.56	2.19	561.93
54	212	27.7	100848	39.34	100847	39.84	88540	80	29.0	1.52	6.94	399.9
55	211	27.7	100847	39.9	100844	39.59	88728	80	29.08	1.49	2.88	542.96
56	213	27.7	100854	39.77	100853	39.75	88530	80	28.98	1.54	2.54	388.91
57	213	27.7	100850	39.2	100849	39.34	88592	80	28.94	1.56	6.0	504.11
58	215	27.8	100857	39.64	100852	39.04	88571	80	28.91	1.51	6.18	541.39
59	213	27.7	100855	39.28	100853	39.24	88936	80	28.94	1.48	2.81	570.51
60	214	27.8	100857	39.49	100846	39.39	88476	80	29.07	1.45	3.36	547.65
61	214	27.7	100852	39.75	100848	39.83	88203	80	28.91	1.45	4.54	524.74
62	217	27.7	100852	39.56	100847	39.87	88266	80	28.83	1.5	2.49	524.97
63	214	27.7	100847	39.73	100848	39.44	88597	80	28.92	1.57	5.34	476.31
64	220	27.7	100854	39.16	100854	39.69	87986	79	28.83	1.51	3.86	463.31
65	217	27.7	100848	40.01	100852	39.57	88062	80	28.99	1.44	4.0	475.57
