1	221	28.1	100849	39.68	100848	39.42	103047	93	29.3	1.99	10.14	403.37
2	218	28.0	100858	39.49	100852	39.93	103335	93	29.1	1.80	10.85	361.38
3	220	28.0	100850	39.40	100849	40.23	102625	93	29.2	2.00	9.84	380.69
4	216	28.0	100848	40.46	100848	39.34	102956	93	29.3	2.04	9.28	491.83
5	220	28.0	100855	39.22	100849	39.19	102935	93	29.3	2.20	10.27	522.17
6	222	28.1	100849	39.62	100851	39.43	102841	93	29.2	2.14	10.11	400.12
7	223	28.0	100851	39.07	100853	38.93	103139	93	29.3	1.83	9.56	505.26
8	225	28.0	100857	38.86	100854	38.86	103015	93	29.2	1.86	10.29	392.51
9	225	28.0	100852	39.72	100855	39.37	104076	94	29.2	2.09	9.4	375.72
10	223	28.1	100846	39.99	100853	39.48	103772	94	29.3	2.01	9.27	548.66
11	223	28.1	100851	38.75	100851	38.60	103983	94	29.4	1.97	8.72	509.72
12	225	28.0	100853	39.14	100857	39.11	102365	93	29.3	2.23	10.49	472.10
13	225	28.0	100852	39.29	100859	38.50	104027	94	29.2	2.03	10.75	540.43
14	222	28.0	100859	38.92	100862	38.90	101881	92	29.2	2.14	10.39	503.69
15	222	28.1	100851	39.55	100858	38.94	101030	91	29.2	2.10	10.53	526.99
16	222	28.0	100864	38.81	100856	38.72	101070	91	29.2	2.06	9.02	464.13
17	222	28.0	100851	39.51	100858	39.03	101661	92	29.3	1.79	11.02	530.58
18	226	28.0	100856	39.69	100853	38.99	102217	92	29.2	1.87	9.84	545.72
19	221	28.0	100859	39.18	100860	39.10	102301	93	29.3	1.82	11.3	449.12
20	223	28.0	100855	39.43	100852	39.06	101963	92	29.3	2.05	9.37	475.27
21	223	28.0	100860	39.60	100855	39.40	102009	92	29.2	2.01	11.39	491.71
22	226	27.9	100849	38.74	100859	38.46	102019	92	29.2	1.96	10.2	488.92
23	224	28.0	100853	39.64	100858	39.13	102534	93	29.2	2.06	11.6	497.31
24	223	28.0	100853	39.32	100853	39.14	102110	92	29.4	2.05	9.83	453.50
25	222	27.9	100853	39.29	100865	38.68	101817	92	29.2	1.92	10.36	503.83
26	227	28.0	100865	38.86	100858	39.10	102388	93	29.4	2.19	9.7	554.98
27	227	28.0	100850	39.59	100853	39.88	102174	92	29.2	1.87	9.7	399.19
28	222	28.0	100854	39.58	100847	39.61	102529	93	29.1	1.78	10.5	457.47
29	224	28.0	100849	39.31	100856	39.38	102594	93	29.2	2.21	10.83	417.77
30	224	27.9	100853	39.60	100853	38.81	102500	93	29.3	2.15	9.14	491.89
31	226	28.0	100846	38.82	100854	39.77	102912	93	29.2	1.98	10.8	504.29
32	222	28.0	100847	40.11	100855	39.62	103268	93	29.4	2.18	10.37	400.58
33	222	28.0	100852	38.90	100851	38.87	102712	93	29.2	2.15	9.06	433.66
34	221	28.0	100849	39.33	100853	39.01	103168	93	29.3	1.81	10.94	429.95
35	219	28.0	100852	39.50	100853	39.24	103065	93	29.2	2.11	11.11	514.13
36	221	28.0	100862	38.76	100840	39.90	102720	93	29.3	1.89	8.86	560.15
37	223	28.0	100848	40.10	100850	39.95	102720	93	29.2	1.90	9.66	532.33
38	220	28.1	100852	38.94	100850	38.93	103417	94	29.3	2.00	9.85	427.55
39	220	28.0	100848	39.50	100855	39.66	103273	93	29.3	2.24	10.56	497.81
40	231	28.0	100851	40.52	100850	39.54	103139	93	29.2	2.05	9.95	372.86
41	226	28.1	100848	40.04	100838	39.77	103004	93	29.2	2.14	10.16	383.05
42	218	28.0	100852	40.50	100854	39.82	103241	93	29.2	1.97	9.96	427.25
43	220	28.1	100848	39.62	100852	39.20	103518	94	29.2	2.11	9.81	488.33
44	220	27.9	100850	39.80	100852	39.60	103306	93	29.2	2.14	10.2	407.53
45	219	28.0	100847	39.53	100852	39.59	103112	93	29.2	1.87	9.33	474.61
46	222	27.9	100850	39.72	100859	39.46	102771	93	29.2	2.04	9.16	558.69
47	219	27.9	100856	39.41	100859	39.27	103396	93	29.2	2.21	9.53	546.77
48	228	28.1	100849	39.93	100848	39.32	103013	93	29.2	1.92	11.56	562.11
49	219	28.0	100847	39.69	100848	39.35	102985	93	29.2	2.16	10.07	385.23
50	225	27.9	100850	39.95	100850	39.85	102850	93	29.3	2.00	10.21	526.15
51	222	28.0	100859	38.88	100849	39.00	103381	93	29.4	2.01	11.95	471.59
52	220	28.0	100856	39.30	100858	38.98	102799	93	29.2	1.76	13.52	413.93
53	220	28.0	100848	38.85	100856	39.19	103207	93	29.1	2.01	9.14	558.93
54	223	28.0	100849	39.27	100847	39.81	103240	93	29.2	1.80	12.19	531.90
55	220	28.0	100848	39.85	100843	39.68	103394	93	29.2	1.98	9.78	379.96
56	224	28.0	100853	39.82	100852	39.84	102928	93	29.2	1.83	10.12	383.91
57	224	27.9	100852	39.02	100849	39.30	103387	93	29.3	2.17	10.1	523.11
58	222	28.0	100856	39.72	100851	39.05	103191	93	29.2	1.94	10.96	522.39
59	224	28.0	100854	39.37	100851	39.39	103408	94	29.2	2.05	10.2	561.51
60	223	28.0	100858	39.42	100847	39.34	102574	93	29.3	2.08	10.15	540.65
61	225	28.0	100853	39.68	100846	40.00	102954	93	29.2	2.22	10.03	468.74
62	228	28.0	100852	39.57	100847	39.83	103299	93	29.2	2.07	10.6	548.97
63	225	28.0	100846	39.86	100848	39.44	103412	94	29.3	2.06	11.08	495.31
64	229	28.0	100853	39.27	100853	39.76	102626	93	29.2	2.02	9.27	503.31
65	228	28.1	100848	39.97	100853	39.52	102861	93	29.3	1.91	10.3	426.57
